probeID,gene,chromosome,position,beta,p,fdr
cg23414262,CHSY3,5,129338100,-0.161394445436028,8.64769489922467e-13,7.4729228425548e-07
cg00251121,UVRAG,11,75631360,-0.151217780558466,2.27697781927178e-10,9.83827468239672e-05
cg02401524,,10,134833335,-0.198873474436144,6.30245671627602e-10,0.000181542685876112
cg14632071,TTLL11,9,124616283,-0.117422415822493,3.46050836358062e-09,0.000747601305851231
cg11606607,RNF213,17,78264297,-0.324016014777187,7.56041248110099e-09,0.00130666911327368
cg06893139,ADAMTS12,5,33852528,-0.0638762780933767,1.41637998614056e-08,0.00203994599630556
cg19726630,CMTM8,3,32400704,0.303013171910939,1.98166489047329e-08,0.00244637096918896
cg11398095,GLI2,2,121717644,-0.19622356927754,1.01442381132138e-07,0.0109577045675125
cg13750061,CD3G,11,118344130,-0.105521297436656,1.59413201631117e-07,0.015306359668437
cg09696135,TECTA,11,121025856,-0.0685945486031019,2.05529346628835e-07,0.0177608595948001
cg08571639,LRRFIP1,2,238639895,-0.234168410764857,2.50683397441555e-07,0.0183022072178452
cg18363564,IQCF3,3,51827889,-0.160727986636196,2.83076217907639e-07,0.0183022072178452
cg13866190,FLJ14107,8,22642263,-0.159796585295799,3.17265126998765e-07,0.0183022072178452
cg11388547,LOC286135,8,29778333,-0.146703403056342,2.83490876109879e-07,0.0183022072178452
cg12218999,,6,33248472,0.0333118043623936,3.17690763045943e-07,0.0183022072178452
cg20968069,,7,7924714,-0.0861016540745584,3.72545426124872e-07,0.0201209921922913
cg09192059,DMD,23,31266915,0.0631757455688977,4.58414061035465e-07,0.0233023192748188
cg01024679,,4,158394288,0.130034778736709,5.42474888265957e-07,0.0260433755358224
cg27325096,,6,10482947,-0.173182389209319,6.04871519331895e-07,0.0261350466586848
cg01686178,ST6GALNAC1,17,74641236,-0.133414010903563,5.77339726323058e-07,0.0261350466586848
