probeID,gene,chromosome,position,beta,p,fdr
cg09074299,TACC2,10,123893225,-0.181199820537316,1.33483894072837e-10,0.00011535037403083
cg03867979,,6,170479824,-0.214252569584733,5.63578414065971e-09,0.00243508706835968
cg02401524,,10,134833335,-0.245062721444035,1.50085823420119e-08,0.0043232321493381
cg12583591,MUC16,19,9092130,-0.203736603706454,2.4920022985528e-08,0.00538367192574749
cg05597431,AHRR,5,404205,-0.226542295173104,4.04194207652754e-08,0.00698570465863085
cg22502715,ZNF695,1,247008270,0.120238947566404,7.2356973354592e-08,0.0104212372063862
cg00251121,UVRAG,11,75631360,-0.171390489648903,1.17816433771035e-07,0.0113123674306786
cg19690193,,16,85269396,-0.167044285316613,1.13147512171868e-07,0.0113123674306786
cg23414262,CHSY3,5,129338100,-0.164726374937573,1.16546646254433e-07,0.0113123674306786
cg26284480,,3,167647826,-0.168611897312702,1.92850080466149e-07,0.0166651782734984
cg11657520,PDK1,2,173468235,-0.481310139035851,2.67909357282506e-07,0.0210467642649447
cg10479493,MLN,6,33772694,-0.167222819813749,5.12357161852356e-07,0.0340580358560798
cg10051615,C4orf38,4,183098408,0.0226373980648168,4.91621085697758e-07,0.0340580358560798
cg18363564,IQCF3,3,51827889,-0.207389076873998,7.32357135397378e-07,0.042191192217861
cg14115936,,7,73002496,0.0613693199164593,6.85620655606685e-07,0.042191192217861
cg22385719,ZNF695,1,247008188,0.0228358132096872,1.08920361205383e-06,0.0588273424852211
cg24428529,,14,66537014,-0.197549867378827,1.16451985910174e-06,0.0591954214872051
cg12798859,HCG18,6,30285979,-0.0865672119345432,1.54638576057694e-06,0.0742395748763381
cg16623652,,14,105130259,-0.124985521876083,1.99612234244635e-06,0.090787006024721
cg20844060,,16,85269402,-0.155109974528923,2.14468555774821e-06,0.0926667157049616
