probeID,gene,chromosome,position,beta,p,fdr
cg09916840,,16,87248612,0.19923757400845,0.000229309036884282,0.958641376350604
cg26983017,HCK,20,30680224,-0.193901479901979,0.0026070637206821,0.958641376350604
cg14421879,APOL6,22,36043200,-0.174761022594771,0.0015239166495758,0.958641376350604
cg19848924,,10,34344580,-0.165005528326863,0.00233664314358296,0.958641376350604
cg05234269,ST3GAL6,3,98503683,0.164949685262811,0.00553855052670002,0.958641376350604
cg10171723,,20,46486091,-0.164030238658681,0.00130510707367541,0.958641376350604
cg03146160,LOC101928708,16,87249324,0.163022962205676,0.00529579710605012,0.958641376350604
cg16814680,,8,90669471,-0.154328921813496,8.81987325623534e-05,0.958641376350604
cg08332381,CDC42BPA,1,227189106,0.152379211210168,0.0112934226899272,0.958641376350604
cg21028156,,23,2743660,-0.14998673789708,0.0221920561812812,0.958641376350604
cg05161773,SEPT9,17,75378036,-0.146279033074502,0.00703648647628884,0.958641376350604
cg26469782,,4,4117213,-0.145933215323725,0.0175329499976634,0.958641376350604
cg02355809,GIMAP1,7,150412715,0.144259969456001,0.00231554519079531,0.958641376350604
cg26951705,ZNF787,19,56612697,0.141516967278918,0.0235795958634212,0.958641376350604
cg01584086,,11,10373718,0.139583345753487,0.0101706741192153,0.958641376350604
cg03967651,SLC2A1-AS1,1,43447310,0.138166058418943,0.0134141442486744,0.958641376350604
cg12012426,KIAA1530,4,1366463,-0.137550423390974,0.0165247107208259,0.958641376350604
cg15831967,HELZ,17,67221260,0.136126133089254,0.00370212083740263,0.958641376350604
cg11037025,EXOC1,4,55894050,-0.135998542978913,0.00213359477327323,0.958641376350604
cg11836949,GNB1,1,1880920,0.135218051326324,0.000734107549212805,0.958641376350604
