p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0012453996797200703,0.9999777899333567,1,3.4869397307895635,0.3246571407405942,0.5131102591033432,0.1362040223778453,0.09310661089834225,46,chr14,37445440,cg00814218,SLC25A21,0.3246571407405942,0.0012453996797200703,2.904691250302289,chr14,37445440,SLC25A21;SLC25A21,14,37445440,1
7.238156477253972e-4,0.9999777899333567,1,-3.6767872938932213,-0.30204762091393167,-0.13577156179355745,-0.4683236800343059,0.08214987617467097,46,chr14,35096197,cg01088139,SNX6,-0.30204762091393167,7.238156477253972e-4,3.1403720323809865,chr14,35096197,SNX6;SNX6,14,35096197,1
0.002280987341266223,0.9999777899333567,1,3.2702113622159517,0.2968021955063267,0.4805042848093096,0.11310010620334376,0.09075933101315152,46,chr6,31096127,cg26566189,PSORS1C1,0.2968021955063267,0.002280987341266223,2.6418771249090076,chr6,31096127,PSORS1C1,6,31096127,1
2.591822391046193e-4,0.9999777899333567,1,4.026799202300848,0.2900197921511911,0.4357972836468105,0.14424230065557173,0.07202241223885178,46,chr17,5561734,cg11261447,NLRP1,0.2900197921511911,2.591822391046193e-4,3.586394762535782,chr17,5465054,NLRP1;NLRP1;NLRP1;NLRP1;NLRP1,17,5561734,1
0.0045751283321271525,0.9999777899333567,1,-3.0129140507960313,-0.28833235898163767,-0.09463243420741119,-0.48203228375586415,0.09569883312982606,46,chr9,12795679,cg04109990,LURAP1L,-0.28833235898163767,0.0045751283321271525,2.339596719487588,chr9,12795679,LURAP1L;LURAP1L-AS1,9,12795679,1
0.0022535309659753463,0.9999777899333567,1,3.274607094935856,0.2882463097185582,0.4664133506594066,0.1100792687777098,0.08802470078450875,46,chr3,53839610,cg12727358,CACNA1D,0.2882463097185582,0.0022535309659753463,2.6471364698717603,chr3,53839610,CACNA1D;CACNA1D;CACNA1D,3,53839610,1
0.0029663021601202054,0.9999777899333567,1,3.1742052683006152,0.2860809065248219,0.46850268054246846,0.10365913250717532,0.09012678208992513,46,chr3,52749334,cg01132052,NEK4,0.2860809065248219,0.0029663021601202054,2.5277846119762186,chr3,52749334,NEK4;NEK4,3,52749334,1
0.001007449221536983,0.9999777899333567,1,-3.5615807312556202,-0.2858594798771846,-0.12340465445866175,-0.44831430529570737,0.08026196833572996,46,chr17,113262,cg16767880,RPH3AL,-0.2858594798771846,0.001007449221536983,2.996776834379947,chr17,113262,RPH3AL,17,113262,1
4.7722883489672446e-4,0.9999777899333567,1,-3.8200652918385654,-0.2805052956647225,-0.13187987784377458,-0.4291307134856704,0.07342945060756216,46,chr14,94576451,cg20770459,IFI27,-0.2805052956647225,4.7722883489672446e-4,3.3212733234715164,chr14,94576451,IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27,14,94576451,1
2.40977354953916e-5,0.9999777899333567,1,4.805276434524376,0.27449241097434557,0.3901128928206055,0.15887192912808562,0.05712312594593004,46,chr6,154821545,cg07895329,CNKSR3,0.27449241097434557,2.40977354953916e-5,4.618023766888327,chr6,154821545,CNKSR3,6,154821545,1
0.02165955152581514,0.9999777899333567,1,-2.3943979783131546,-0.27175877620002636,-0.0420328291182529,-0.5014847232817998,0.11349774710028761,46,chr5,180335743,cg22561794,BTNL8,-0.27175877620002636,0.02165955152581514,1.664350539948933,chr5,180335743,BTNL8;BTNL8;BTNL8;BTNL8;BTNL8;BTNL8,5,180335743,1
0.0021650815053063425,0.9999777899333567,1,3.2891228655261875,0.25689570923855265,0.4149839488305007,0.09880746964660461,0.07810462537934258,46,chr6,126221007,cg14811585,NCOA7,0.25689570923855265,0.0021650815053063425,2.6645257498240063,chr6,126221007,NCOA7;NCOA7;NCOA7;NCOA7;NCOA7,6,126221007,1
